Category,City,Country,Customer.ID,Customer.Name,Discount,Market,记录数,Order.Date,Order.ID,Order.Priority,Product.ID,Product.Name,Profit,Quantity,Region,Row.ID,Sales,Segment,Ship.Date,Ship.Mode,Shipping.Cost,State,Sub.Category,Year,Market2,weeknum
Office Supplies,New York,United States,CU-40495,Customer 0,0.5,US,1,2020-10-12 00:00:00.000,US-2020-629903,Low,OFF-83563,Paper Product 204,90.1931,2,West,1,1475.58,Home Office,2020-10-21 00:00:00.000,First Class,9.22,New York,Paper,2020,North America,42
Furniture,New York,United States,CU-59797,Customer 1,0.2,US,1,2023-11-30 00:00:00.000,US-2023-201414,High,FUR-55082,Tables Product 619,647.8982,3,South,2,2042.41,Home Office,2023-12-05 00:00:00.000,First Class,9.6,California,Tables,2023,North America,48
Technology,Houston,United States,CU-47930,Customer 2,0.25,US,1,2023-07-11 00:00:00.000,US-2023-183667,Medium,TEC-23238,Machines Product 390,691.8784,10,West,3,9306.41,Corporate,2023-07-16 00:00:00.000,Standard Class,34.76,Illinois,Machines,2023,North America,28
Furniture,Houston,United States,CU-70589,Customer 3,0.05,US,1,2023-12-08 00:00:00.000,US-2023-497887,High,FUR-93886,Storage Product 705,4218.2731,10,East,4,17802.45,Corporate,2023-12-17 00:00:00.000,First Class,16.02,New York,Storage,2023,North America,49
Technology,Miami,United States,CU-70142,Customer 4,0.25,US,1,2021-07-02 00:00:00.000,US-2021-249811,High,TEC-28301,Accessories Product 253,80.1278,4,West,5,425.15,Consumer,2021-07-11 00:00:00.000,Standard Class,46.15,Texas,Accessories,2021,North America,26
Office Supplies,New York,United States,CU-99192,Customer 5,0.05,US,1,2020-10-10 00:00:00.000,US-2020-542666,Low,OFF-60432,Art Product 391,100.6752,1,South,6,972.76,Home Office,2020-10-20 00:00:00.000,Same Day,12.2,Texas,Art,2020,North America,41
Furniture,Houston,United States,CU-44522,Customer 6,0.2,US,1,2023-08-05 00:00:00.000,US-2023-624902,Medium,FUR-76542,Storage Product 935,196.7153,7,West,7,3846.92,Home Office,2023-08-07 00:00:00.000,Standard Class,37.49,Illinois,Storage,2023,North America,31
Office Supplies,Chicago,United States,CU-50306,Customer 7,0.25,US,1,2022-12-22 00:00:00.000,US-2022-351083,Low,OFF-41571,Art Product 900,-746.7947,8,East,8,11026.81,Consumer,2023-01-01 00:00:00.000,First Class,44.54,New York,Art,2022,North America,51
Technology,Miami,United States,CU-36365,Customer 8,0.5,US,1,2023-01-30 00:00:00.000,US-2023-847581,High,TEC-62296,Phones Product 688,210.1527,10,South,9,1693.01,Consumer,2023-02-05 00:00:00.000,Second Class,29.27,New York,Phones,2023,North America,5
Furniture,Houston,United States,CU-40007,Customer 9,0.15,US,1,2020-02-13 00:00:00.000,US-2020-170674,Low,FUR-53309,Furnishings Product 73,751.1884,10,West,10,10036.24,Consumer,2020-02-22 00:00:00.000,Second Class,33.4,California,Furnishings,2020,North America,7
Technology,Chicago,United States,CU-65519,Customer 10,0.4,US,1,2022-08-26 00:00:00.000,US-2022-531071,Critical,TEC-17100,Accessories Product 690,173.9757,7,South,11,2072.97,Consumer,2022-08-28 00:00:00.000,Second Class,24.4,Illinois,Accessories,2022,North America,34
Technology,New York,United States,CU-68082,Customer 11,0.3,US,1,2023-01-03 00:00:00.000,US-2023-947272,Low,TEC-16630,Machines Product 668,260.538,3,Central,12,1895.76,Consumer,2023-01-12 00:00:00.000,Second Class,46.55,New York,Machines,2023,North America,1
Technology,Miami,United States,CU-69638,Customer 12,0.0,US,1,2021-03-13 00:00:00.000,US-2021-399105,Critical,TEC-82845,Phones Product 678,2050.0886,3,East,13,5191.96,Consumer,2021-03-21 00:00:00.000,Same Day,16.93,Florida,Phones,2021,North America,10
Technology,Chicago,United States,CU-30635,Customer 13,0.0,US,1,2020-05-04 00:00:00.000,US-2020-159642,Low,TEC-34356,Computers Product 71,338.651,1,Central,14,1498.47,Consumer,2020-05-14 00:00:00.000,Standard Class,43.37,Illinois,Computers,2020,North America,19
Technology,Chicago,United States,CU-97782,Customer 14,0.3,US,1,2020-03-22 00:00:00.000,US-2020-850981,High,TEC-41285,Computers Product 272,1398.0222,10,South,15,8697.98,Consumer,2020-03-29 00:00:00.000,Second Class,16.73,Illinois,Computers,2020,North America,12
Technology,Miami,United States,CU-55745,Customer 15,0.05,US,1,2023-06-26 00:00:00.000,US-2023-172132,Medium,TEC-58434,Accessories Product 292,861.4998,2,South,16,3794.16,Corporate,2023-06-29 00:00:00.000,Standard Class,10.96,California,Accessories,2023,North America,26
Furniture,New York,United States,CU-54942,Customer 16,0.05,US,1,2021-06-25 00:00:00.000,US-2021-313487,High,FUR-76244,Storage Product 501,304.58,9,West,17,2049.46,Home Office,2021-06-30 00:00:00.000,First Class,14.48,California,Storage,2021,North America,25
Technology,Houston,United States,CU-11267,Customer 17,0.2,US,1,2020-09-24 00:00:00.000,US-2020-217308,Low,TEC-29536,Phones Product 559,745.5157,3,South,18,3066.85,Corporate,2020-09-25 00:00:00.000,Standard Class,24.25,California,Phones,2020,North America,39
Furniture,Houston,United States,CU-63264,Customer 18,0.15,US,1,2020-03-22 00:00:00.000,US-2020-750810,Medium,FUR-41029,Tables Product 886,1062.9061,4,South,19,6116.12,Consumer,2020-03-25 00:00:00.000,Standard Class,30.19,Texas,Tables,2020,North America,12
Technology,New York,United States,CU-70332,Customer 19,0.05,US,1,2021-06-30 00:00:00.000,US-2021-466643,High,TEC-39831,Machines Product 229,761.7389,7,West,20,2173.24,Consumer,2021-07-01 00:00:00.000,First Class,15.01,Florida,Machines,2021,North America,26
Office Supplies,Houston,United States,CU-44237,Customer 20,0.3,US,1,2021-12-20 00:00:00.000,US-2021-287241,High,OFF-15014,Binders Product 112,483.5611,9,South,21,8105.26,Corporate,2021-12-30 00:00:00.000,First Class,44.47,California,Binders,2021,North America,51
Furniture,Chicago,United States,CU-97900,Customer 21,0.3,US,1,2021-01-24 00:00:00.000,US-2021-306606,High,FUR-66531,Storage Product 72,120.2279,1,Central,22,361.83,Corporate,2021-01-30 00:00:00.000,Standard Class,35.91,Florida,Storage,2021,North America,3
Office Supplies,Houston,United States,CU-59695,Customer 22,0.3,US,1,2023-09-27 00:00:00.000,US-2023-810219,Medium,OFF-90676,Art Product 583,337.3112,5,West,23,2879.46,Home Office,2023-10-02 00:00:00.000,First Class,34.92,Illinois,Art,2023,North America,39
Furniture,Chicago,United States,CU-32241,Customer 23,0.4,US,1,2023-05-27 00:00:00.000,US-2023-790855,Low,FUR-47196,Chairs Product 528,786.4297,8,Central,24,6301.75,Corporate,2023-06-06 00:00:00.000,Second Class,26.29,Florida,Chairs,2023,North America,21
Furniture,New York,United States,CU-92544,Customer 24,0.15,US,1,2020-10-28 00:00:00.000,US-2020-703634,Medium,FUR-60328,Chairs Product 507,127.1178,8,East,25,398.52,Home Office,2020-11-04 00:00:00.000,First Class,25.49,New York,Chairs,2020,North America,44
Technology,New York,United States,CU-70901,Customer 25,0.0,US,1,2023-11-26 00:00:00.000,US-2023-800005,High,TEC-68008,Computers Product 628,3249.4476,9,West,26,9366.62,Consumer,2023-12-05 00:00:00.000,Same Day,25.54,New York,Computers,2023,North America,47
Furniture,Houston,United States,CU-47450,Customer 26,0.2,US,1,2021-05-21 00:00:00.000,US-2021-345884,High,FUR-54020,Furnishings Product 328,1618.9492,9,East,27,12105.56,Home Office,2021-05-30 00:00:00.000,Same Day,24.79,Florida,Furnishings,2021,North America,20
Technology,New York,United States,CU-61049,Customer 27,0.25,US,1,2020-05-11 00:00:00.000,US-2020-907189,Low,TEC-85456,Computers Product 390,404.9278,9,East,28,5640.21,Consumer,2020-05-19 00:00:00.000,Same Day,42.48,New York,Computers,2020,North America,20
Technology,Chicago,United States,CU-97670,Customer 28,0.4,US,1,2023-05-20 00:00:00.000,US-2023-812131,Critical,TEC-31632,Accessories Product 861,948.5192,4,Central,29,4311.95,Corporate,2023-05-28 00:00:00.000,Same Day,22.5,Illinois,Accessories,2023,North America,20
Technology,Miami,United States,CU-54236,Customer 29,0.1,US,1,2020-10-04 00:00:00.000,US-2020-898207,Critical,TEC-46471,Phones Product 771,256.9865,1,South,30,1561.53,Home Office,2020-10-11 00:00:00.000,Standard Class,25.46,California,Phones,2020,North America,40
Furniture,New York,United States,CU-29973,Customer 30,0.0,US,1,2023-08-24 00:00:00.000,US-2023-350132,Medium,FUR-72070,Chairs Product 686,17.5533,1,South,31,146.55,Consumer,2023-08-26 00:00:00.000,Standard Class,5.92,Texas,Chairs,2023,North America,34
Office Supplies,New York,United States,CU-50888,Customer 31,0.05,US,1,2023-05-25 00:00:00.000,US-2023-703766,Critical,OFF-61990,Binders Product 965,305.0059,3,South,32,3472.5,Home Office,2023-05-29 00:00:00.000,First Class,6.16,Texas,Binders,2023,North America,21
Technology,Los Angeles,United States,CU-54725,Customer 32,0.25,US,1,2023-03-05 00:00:00.000,US-2023-113266,Critical,TEC-74251,Computers Product 109,1901.2688,9,West,33,10580.25,Home Office,2023-03-12 00:00:00.000,First Class,27.77,Illinois,Computers,2023,North America,9
Furniture,Houston,United States,CU-52245,Customer 33,0.5,US,1,2023-06-15 00:00:00.000,US-2023-993085,Medium,FUR-21359,Furnishings Product 286,2194.4831,8,East,34,6473.27,Corporate,2023-06-23 00:00:00.000,Second Class,31.66,Illinois,Furnishings,2023,North America,24
Technology,Houston,United States,CU-46211,Customer 34,0.25,US,1,2021-01-07 00:00:00.000,US-2021-682789,Low,TEC-77715,Machines Product 971,1316.3629,5,South,35,3675.84,Corporate,2021-01-11 00:00:00.000,Standard Class,36.55,Florida,Machines,2021,North America,1
Technology,Miami,United States,CU-86225,Customer 35,0.05,US,1,2022-07-06 00:00:00.000,US-2022-486945,Critical,TEC-82544,Computers Product 544,2203.4144,5,South,36,7542.7,Corporate,2022-07-12 00:00:00.000,Second Class,18.78,Florida,Computers,2022,North America,27
Furniture,Houston,United States,CU-34267,Customer 36,0.15,US,1,2021-05-29 00:00:00.000,US-2021-300845,Medium,FUR-73464,Storage Product 284,-396.9426,6,Central,37,2390.73,Home Office,2021-06-08 00:00:00.000,Same Day,39.3,Texas,Storage,2021,North America,21
Office Supplies,Houston,United States,CU-26551,Customer 37,0.5,US,1,2021-01-02 00:00:00.000,US-2021-768854,Critical,OFF-23446,Art Product 894,358.655,3,West,38,917.27,Consumer,2021-01-03 00:00:00.000,First Class,29.9,New York,Art,2021,North America,53
Office Supplies,New York,United States,CU-92502,Customer 38,0.4,US,1,2020-04-15 00:00:00.000,US-2020-819796,Low,OFF-29887,Art Product 153,116.9868,2,South,39,614.92,Corporate,2020-04-25 00:00:00.000,Same Day,8.33,Texas,Art,2020,North America,16
Furniture,Chicago,United States,CU-66207,Customer 39,0.5,US,1,2023-06-20 00:00:00.000,US-2023-420214,Low,FUR-89905,Chairs Product 984,329.3402,7,East,40,1606.91,Consumer,2023-06-22 00:00:00.000,Same Day,43.71,Illinois,Chairs,2023,North America,25
Technology,New York,United States,CU-14278,Customer 40,0.1,US,1,2020-12-21 00:00:00.000,US-2020-342720,High,TEC-47056,Computers Product 720,290.5861,1,Central,41,997.62,Home Office,2020-12-29 00:00:00.000,Standard Class,26.15,New York,Computers,2020,North America,52
Technology,Los Angeles,United States,CU-50319,Customer 41,0.1,US,1,2023-01-20 00:00:00.000,US-2023-723948,High,TEC-67560,Computers Product 128,154.3492,5,Central,42,2058.17,Home Office,2023-01-28 00:00:00.000,Second Class,12.47,Florida,Computers,2023,North America,3
Office Supplies,Los Angeles,United States,CU-98381,Customer 42,0.3,US,1,2023-05-09 00:00:00.000,US-2023-976566,Low,OFF-98117,Art Product 842,22.154,6,South,43,375.16,Corporate,2023-05-14 00:00:00.000,Same Day,15.3,Florida,Art,2023,North America,19
